Name;IK;Gültig Seit;Kurzname;Bedruckungsname;Suchname;Art;Strasse;Hausnummer;PLZ;Ort;Email;Telefonnummer;Fax;Ortssuchname
Allianz Private Krankenversicherungs-AG;168140346;01-01-2022;Allianz PKV;Allianz PKV-AG;Allianz Private Krankenversicherung;;Königinstraße;28;80802;München; info@allianz.de;+49 89 3800-0;;München, Berlin, Stuttgart, 
ALTE OLDENBURGER Krankenversicherung AG;168141427;01-01-2022;ALTE OLDENBURGER;ALTE OLDENBURGER KV AG;Alte Oldenburger Krankenversicherung;;Alte-Oldenburger-Platz;1;49377;Vechta;info@alte-oldenburger.de;+49 4441 905-0;+49 4441 905-470;Vechta, 
ARAG Krankenversicherungs-AG;168141121;01-01-2022;ARAG;ARAG KV-AG;ARAG Krankenversicherung;;Hollerithstraße ;11;81829;München;service@ARAG.de;+49 89 4124-9566;+49 89 4124-9525;München, 
AXA Krankenversicherung Aktiengesellschaft;168140950;01-01-2022;AXA;AXA KV AG;AXA Krankenversicherung;;Colonia-Allee;10-20;51067;Köln;service@axa.de;+49 800 3203205;;Köln, 
Barmenia Krankenversicherung AG;168140426;01-01-2022;Barmenia;Barmenia KV AG;Barmenia Krankenversicherung;;Barmenia-Allee;1;42119;Wuppertal;info@barmenia.de ;+49 202 438-00;+49 202 438-2846;Wuppertal, 
Bayerische Beamtenkrankenkasse AG;168141347;01-01-2022;Bayerische BeamtenKK;Bayerische BeamtenKK AG;Bayerische Beamtenkrankenkasse;;Maximilianstraße;53;80530;München;service@vkb.de;+49 89 2160-0;;München, 
CONCORDIA Krankenversicherungs-AG;168141187;01-01-2022;CONCORDIA;CONCORDIA KV-AG;Concordia Krankenversicherung;;Karl-Wiechert-Allee ;55;30625;Hannover;kv-leistung@concordia.de;+49 511 5701-1646;+49 511 5701-1905;Hannover, 
Continentale Krankenversicherung a.G.;168140017;01-01-2022;Continentale;Continentale KV a.G.;Continentale Krankenversicherung;;Ruhrallee;92;44139;Dortmund;info@continentale.de;+49 231 919-0;+49 231 919-2913;Dortmund, München, 
Debeka Krankenversicherungsverein a. G.;168140288;01-01-2022;Debeka;Debeka KV a.G.;Debeka Krankenversicherungsverein;;Debeka-Platz;1;56073;Koblenz;kundenservice@debeka.de;+49 261 498-0;+49 261 498-55 55;Koblenz, 
DEVK Krankenversicherungs-Aktiengesellschaft;168141314;01-01-2022;DEVK;DEVK KV-AG;DEVK Krankenversicherung;;Riehler Straße ;190;50735;Köln;info@devk.de;+49 221 757-0;+49 221 757-2200;Köln, 
DKV Deutsche Krankenversicherung AG;168140448;01-01-2022;DKV ;DKV AG;DKV Deutsche Krankenversicherung;;Aachener Straße ;300;50933;Köln;service@dkv.com;0800 3746-444;+49 221 578-6000;Köln, Berlin, 
FREIE ARZT UND MEDIZINKASSE VVaG (übernommen durch INTER Krankenversicherungs AG);168140530;01-01-2022;FAMK;FAMK VVaG;Freie Arzt-und Medizinkasse;;Hansaallee ;154;60320; Frankfurt am Main;info@famk.de;+49 69 97466-0;+49 69 97466-130;Frankfurt am Main, 
Generali Deutschland Krankenversicherung AG;168140040;01-01-2022;Generali;Generali KV AG;Generali Krankenversicherung;;;;50593;Köln;service@generali.de;+49 221 1636-0;+49 221 1636-200;Köln, 
GOTHAER KRANKENVERSICHERUNG AG;168141198;01-01-2022;GOTHAER;GOTHAER KV AG;Gothaer Krankenversicherung;;Arnoldiplatz;1;50969;Köln;;+49 221 308-00;+49 221 308-103;Köln, 
Hallesche Krankenversicherung a. G.;168140437;01-01-2022;Hallesche;Hallesche KV a. G.;Hallesche Krankenversicherung;;Löffelstr. ;34-38;70597;Stuttgart;service@hallesche.de;+49 711 6603-0;+49 711 6603-290;Stuttgart, Oberursel, 
HanseMerkur Krankenversicherung AG;168140186;01-01-2022;HanseMerkur;HanseMerkur KV AG;HanseMerkur Krankenversicherung;;Siegfried-Wedells-Platz ;1;20354;Hamburg; info@hansemerkur.de;+49 40 4119-0;+49 40 4119-3257;Hamburg, 
HUK-COBURG-Krankenversicherung AG;168141176;01-01-2022;HUK-Coburg;HUK-Coburg-KV AG;HUK-COBURG-Krankenversicherung;;Willi-Hussong-Straße;2;96444;Coburg;Info@HUK-COBURG.de;0800 2 153-153;0800 2 153-486;Coburg, 
INTER Krankenversicherung AG;168141450;01-01-2022;INTER;INTER KV AG;INTER Krankenversicherung;;Erzbergerstr. ;239;68165;Mannheim; info@inter.de;+49 621 427-427;+49 621 427-944;Mannheim, 
KUK Krankenunterstützungskasse Hannover;168141041;01-01-2022;KUK;KUK Hannover;KUK Krankenunterstützungskasse Hannover;;Karl-Wiechert-Allee;248;30625;Hannover;info@kuk-hannover.de;+49 511 912-1680;+49 511 912-1682;Hannover, 
LIGA KV katholischer Priester VVaG;168140518;01-01-2022;LIGA;LIGA KV WaG;LIGA Krankenversicherung katholischer Priester;;Weißenburgstraße ;257;93055;Regensburg;service@ligakranken.de;+49 941 708184-0;+49 941 708184-79;Regensburg, 
Landeskrankenhilfe VVaG;168140119;01-01-2022;LKH;Landeskrankenhilfe VVaG;Landeskrankenhilfe;;Uelzener Straße;120;21335;Lüneburg;info@lkh.de;+49 4131 725-0;+49 4131 403402;Lüneburg, 
LVM Krankenversicherungs-AG;168141096;01-01-2022;LVM;LVM KV AG;LVM Krankenversicherung;;Kolde-Ring;21;48151;Münster;info@lvm.de ;+49 251 702-0;;Münster, 
Mecklenburgische Krankenversicherung-AG;168141416;01-01-2022;Mecklenburgische;Mecklenburgische KV-AG;Mecklenburgische Krankenversicherung;;Platz der Mecklenburgischen;1;30625;Hannover;da33grundsatz@mecklenburgische.de;+49 511-5351-0;´+49 511 5351-9331;Hannover, 
Münchener Verein Krankenversicherung a.G.;168140379;01-01-2022;Münchener Verein ;Münchener Verein ;Münchener Verein;;Pettenkoferstraße;19;80336;München;info@muenchener-verein.de;+49 89 5152-1000;+49 89 5152-1501;München, 
NÜRNBERGER Krankenversicherung AG;168141256;01-01-2022;NÜRNBERGER;NÜRNBERGER KV AG;Nürnberger Krankenversicherung;;Ostendstraße;303;90334;Nürnberg;;+49 911 531-5;+49 911 531-3206;Nürnberg, 
ottonova Krankenversicherung AG;168141461;01-01-2022;ottonova;ottonova KV AG;ottonova Krankenversicherung;;Ottostraße ;4;80333;München;helpdesk@ottonova.de;+49 89 12 14 07 12;;München, 
PBeaKK Postbeamtenkrankenkasse;950585030;01-01-2022;PBeaKK;PBeaKK ;Postbeamtenkrankenkasse;;Nauheimer Straße;317;70372;Stuttgart;service@pbeakk.de;+49 711 346 529 96; '+49 711 346 529 98 ;Stuttgart, 
Provinzial Krankenversicherung Hannover AG;168141358;01-01-2022;Provinzial ;Provinzial KV AG;Provinzial Krankenversicherung;;Schiffgraben;4;30159;Hannover;service@vgh.de;+49 511 362-0;+49 511 362-2960;Hannover, 
R + V Krankenversicherung AG;168141165;01-01-2022;R+V;R + V KV AG;R+V Krankenversicherung;;Raiffeisenplatz;11;65189;Wiesbaden;ruv@ruv.de;+49 611 533-0;+49 611 533-4500;Wiesbaden, 
SIGNAL IDUNA Krankenversicherung a. G. ;168140028;01-01-2022;SIGNAL IDUNA;SIGNAL IDUNA KV a.G.;Signal Iduna Krankenversicherung;;Joseph-Scherer-Straße;3;44139;Dortmund;info@signal-iduna.de;+49 231-135-0;+49 231-135-4638;Dortmund, Hamburg, 
St. Martinus Priesterverein VVaG;168141063;01-01-2022;St. Martinus Priesterverein;St. Martinus VVaG;St. Martinus Priesterverein;;Hohenzollernstraße;351;70178;Stuttgart;;+49 711 6007-38;+49 711 6007-4412;Stuttgart,
Süddeutsche Krankenversicherung a. G.;168140391;01-01-2022;SDK;SDK a. G. ;SDK Süddeutsche Krankenversicherung;;Raiffeisenplatz;11;70736;Fellbach;sdk@sdk.de; +49 711 7372-7777;+49 711 7372-7788;Fellbach, 
Union Krankenversicherung AG;168141085;01-01-2022;UKV;UKV AG;Union Krankenversicherung;;Peter-Zimmer-Str. ;2;66123;Saarbrücken;service@ukv.de;+49 681 844-0;;Saarbrücken, 
uniVersa Krankenversicherung a.G.;168140459;01-01-2022;uniVersa;uniVersa KV a.G.;uniVersa Krankenversicherung;;Sulzbacher Straße;1-7;90489;Nürnberg;service@uniVersa.de;+49 911 53 07-0;+49 911 5307-1676;Nürnberg, 
Versicherer im Raum der Kirchen KV AG;168141438;01-01-2022;VRK;VRK KV AG;Versicherer im Raum der Kirchen Krankenversicherung;;Doktorweg;2-4;32756;Detmold;info@vrk.de;+49 800 21 53 45 6;+49 800 28 75 18 2;Detmold, Kassel, 
Vigo Krankenversicherung VVaG;168141154;01-01-2022;Vigo ;Vigo KV VVaG;Vigo Krankenversicherung;;Werdener Straße;325;40227;Düsseldorf;;+49 211 355900-0; +49 211 355900-20;Düsseldorf, 
Württembergische Krankenversicherung AG;168141392;01-01-2022;Württembergische;Württembergische KV AG;Württembergische Krankenversicherung;;Gutenbergstraße;30;70176;Stuttgart;info@wuerttembergische.de;+49 711 662 - 0;+49 711 662-2520;Stuttgart, 
Krankenversorgung der Bundesbahnbeamten;950686021;01-01-2022;KVB;KVB Bund;Krankenversorgung der Bundesbahnbeamten;;Salvador-Allende-Straße ;7;60487;Frankfurt am Main;info@kvb-bund.de;+49 69 24703-0;+49 69 24703-498;Frankfurt am Main, 
